17:30:48.362 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,54] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5a22c9df, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@f905c7e, org.springframework.security.web.context.SecurityContextHolderFilter@7f23a29d, org.springframework.security.web.header.HeaderWriterFilter@5c86188, org.springframework.security.web.csrf.CsrfFilter@4e938880, org.springframework.security.web.authentication.logout.LogoutFilter@7897aa96, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@87853da, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@ed1400, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@45bc38d5, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4dfe8b59, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2d26f271, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@466ff964, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7ca1c778, org.springframework.security.web.access.ExceptionTranslationFilter@7d02d40d, org.springframework.security.web.access.intercept.AuthorizationFilter@292f890c]
17:30:48.369 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - [startServer,59] - LiveReload server is running on port 35729
17:30:48.375 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
17:30:48.377 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [start,220] - Tomcat started on port(s): 8080 (http) with context path ''
17:30:48.379 [restartedMain] INFO  c.z.MicroBootApplication - [logStarted,57] - Started MicroBootApplication in 0.306 seconds (process running for 8.611)
17:30:48.380 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - [onApplicationEvent,63] - Condition evaluation unchanged
17:31:12.309 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:31:12.309 [http-nio-8080-exec-1] INFO  o.s.w.s.DispatcherServlet - [initServletBean,532] - Initializing Servlet 'dispatcherServlet'
17:31:12.310 [http-nio-8080-exec-1] INFO  o.s.w.s.DispatcherServlet - [initServletBean,554] - Completed initialization in 1 ms
17:34:01.153 [restartedMain] INFO  c.z.MicroBootApplication - [logStarting,51] - Starting MicroBootApplication using Java 17.0.10 with PID 196 (D:\Item\microboot\microboot\microboot-web\build\classes\java\main started by 12611 in D:\Item\microboot\microboot\microboot-web)
17:34:01.155 [restartedMain] INFO  c.z.MicroBootApplication - [logStartupProfileInfo,636] - The following 1 profile is active: "dev"
17:34:01.187 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,250] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
17:34:01.188 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - [logTo,250] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
17:34:01.911 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [initialize,108] - Tomcat initialized with port(s): 8080 (http)
17:34:01.918 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
17:34:01.919 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
17:34:01.919 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/10.1.5]
17:34:01.956 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
17:34:01.958 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,291] - Root WebApplicationContext: initialization completed in 769 ms
17:34:01.981 [restartedMain] INFO  o.s.b.w.s.RegistrationBean - [register,109] - Filter characterEncodingFilter was not registered (possibly already registered?)
17:34:02.388 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - [<init>,54] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@50b76692, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@686cee3b, org.springframework.security.web.context.SecurityContextHolderFilter@29a3a820, org.springframework.security.web.header.HeaderWriterFilter@6fbc37e5, org.springframework.security.web.csrf.CsrfFilter@2e102101, org.springframework.security.web.authentication.logout.LogoutFilter@43db2fa4, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@266df0d1, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@3dbc3497, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@298ec7b, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@546d91de, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@21bd38b1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@33ead53e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a0d1852, org.springframework.security.web.access.ExceptionTranslationFilter@2db88b60, org.springframework.security.web.access.intercept.AuthorizationFilter@66478f08]
17:34:02.416 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - [startServer,59] - LiveReload server is running on port 35729
17:34:02.425 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
17:34:02.438 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer - [start,220] - Tomcat started on port(s): 8080 (http) with context path ''
17:34:02.445 [restartedMain] INFO  c.z.MicroBootApplication - [logStarted,57] - Started MicroBootApplication in 1.659 seconds (process running for 1.91)
17:34:06.408 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:34:06.408 [http-nio-8080-exec-1] INFO  o.s.w.s.DispatcherServlet - [initServletBean,532] - Initializing Servlet 'dispatcherServlet'
17:34:06.409 [http-nio-8080-exec-1] INFO  o.s.w.s.DispatcherServlet - [initServletBean,554] - Completed initialization in 1 ms
