2024-04-13 15:29:15.836 [restartedMain] INFO  o.s.boot.web.servlet.RegistrationBean - Filter characterEncodingFilter was not registered (possibly already registered?)
2024-04-13 15:29:15.865 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-04-13 15:29:15.909 [restartedMain] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-04-13 15:29:37.630 [restartedMain] INFO  com.zyc.MicroBootApplication - Starting MicroBootApplication using Java 17.0.10 with PID 5216 (D:\Item\microboot\microboot\microboot-web\build\classes\java\main started by 12611 in D:\Item\microboot\microboot\microboot-web)
2024-04-13 15:29:37.632 [restartedMain] INFO  com.zyc.MicroBootApplication - The following 1 profile is active: "dev"
2024-04-13 15:29:37.664 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-13 15:29:37.664 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-04-13 15:29:38.264 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-04-13 15:29:38.271 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-13 15:29:38.272 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-13 15:29:38.272 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2024-04-13 15:29:38.307 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-13 15:29:38.308 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 644 ms
2024-04-13 15:29:38.324 [restartedMain] INFO  o.s.boot.web.servlet.RegistrationBean - Filter characterEncodingFilter was not registered (possibly already registered?)
2024-04-13 15:29:38.353 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-04-13 15:29:38.401 [restartedMain] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
